"date","team1","team2","map","event","matchid","teamid1","teamid2","eventid","score1","score2"
"19/12 13","fnatic (13)","LGB (16)","inferno","FACEIT December Championship 2013","16177","4991","5028","1280","13","16"
"19/12 13","LGB (19)","fnatic (21)","mirage","FACEIT December Championship 2013","16175","5028","4991","1280","19","21"
"19/12 13","n!faculty (17)","fnatic (21)","train","FACEIT December Championship 2013","16173","4983","4991","1280","17","21"
"19/12 13","LGB (16)","Recursive (12)","inferno","FACEIT December Championship 2013","16172","5028","5261","1280","16","12"
"19/12 13","fnatic (16)","DeNova (6)","inferno","FACEIT December Championship 2013","16171","4991","5275","1280","16","6"
"19/12 13","mediokert (4)","Recursive (16)","inferno","FACEIT December Championship 2013","16170","4862","5261","1280","4","16"
"19/12 13","CIO (4)","LGB (16)","dust2","FACEIT December Championship 2013","16169","5244","5028","1280","4","16"
"19/12 13","n!faculty (16)","GAMEPLAY (7)","dust2","FACEIT December Championship 2013","16168","4983","5276","1280","16","7"
"17/12 13","Denmark (16)","France (5)","nuke","European Championship 2013","16167","5139","5142","1218","16","5"
"17/12 13","France (4)","Denmark (16)","dust2","European Championship 2013","16166","5142","5139","1218","4","16"
"17/12 13","Denmark (16)","France (11)","train","European Championship 2013","16165","5139","5142","1218","16","11"
"17/12 13","Denmark (12)","France (16)","inferno","European Championship 2013","16164","5139","5142","1218","12","16"
"15/12 13","VeryGames (16)","Clan-Mystik (14)","dust2","ESL Pro Series France XI Finals","16163","4467","4948","1274","16","14"
"15/12 13","VeryGames (16)","Clan-Mystik (14)","inferno","ESL Pro Series France XI Finals","16162","4467","4948","1274","16","14"
"15/12 13","Clan-Mystik (5)","VeryGames (16)","mirage","ESL Pro Series France XI Finals","16161","4948","4467","1274","5","16"
"15/12 13","MayaM (13)","MYM (16)","dust2","SLTV ProSeries VIII","16160","5056","5211","1275","13","16"
"15/12 13","MayaM (11)","MYM (16)","nuke","SLTV ProSeries VIII","16159","5056","5211","1275","11","16"
"15/12 13","MYM (22)","MayaM (26)","inferno","SLTV ProSeries VIII","16156","5211","5056","1275","22","26"
"15/12 13","Rush3D (5)","E-Frag (16)","nuke","SLTV ProSeries VIII","16155","4610","4731","1275","5","16"
"15/12 13","Rush3D (7)","E-Frag (16)","dust2","SLTV ProSeries VIII","16154","4610","4731","1275","7","16"
